what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1346257087707
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1346257087707
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1346257087707
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1346257087707
stopped,bundle,org.eclipse.jst.ws,1.0.509.v201108250610,"org.eclipse.jst.ws",1346257087707
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1346257087707
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.403.v201108240515,"org.eclipse.wst.wsdl.ui",1346257087708
stopped,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1346257087708
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1346257087708
stopped,bundle,org.eclipse.wst.wsi,1.0.401.v201104071820,"org.eclipse.wst.wsi",1346257087708
stopped,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1346257087708
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1346257087708
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1346257087708
stopped,bundle,org.eclipse.wst.ws.parser,1.0.403.v201004211805,"org.eclipse.wst.ws.parser",1346257087708
stopped,bundle,org.eclipse.jpt.dbws.eclipselink.ui,1.0.0.v201104110000,"org.eclipse.jpt.dbws.eclipselink.ui",1346257087708
stopped,bundle,org.springframework.ide.eclipse.bestpractices,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.bestpractices",1346257087708
stopped,bundle,org.springframework.ide.eclipse.config.ui,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.config.ui",1346257087708
stopped,bundle,org.springframework.ide.eclipse.config.graph,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.config.graph",1346257087709
stopped,bundle,org.springframework.ide.eclipse.wizard,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.wizard",1346257087709
stopped,bundle,org.springframework.ide.eclipse.quickfix,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.quickfix",1346257087709
stopped,bundle,org.springframework.ide.eclipse.config.core,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.config.core",1346257087709
stopped,bundle,org.springframework.ide.eclipse.batch,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.batch",1346257087709
stopped,bundle,org.springframework.ide.eclipse.aop.ui.matcher,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.aop.ui.matcher",1346257087709
stopped,bundle,org.springframework.ide.eclipse.aop.ui,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.aop.ui",1346257087709
stopped,bundle,org.springframework.ide.eclipse.security,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.security",1346257087710
stopped,bundle,org.springframework.ide.eclipse.aop.core,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.aop.core",1346257087710
stopped,bundle,org.springframework.ide.eclipse.beans.ui.autowire,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.beans.ui.autowire",1346257087710
stopped,bundle,org.springframework.ide.eclipse.beans.core.autowire,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.beans.core.autowire",1346257087710
stopped,bundle,org.springframework.ide.eclipse.beans.mylyn,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.beans.mylyn",1346257087710
stopped,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.beans.ui.refactoring",1346257087710
stopped,bundle,org.springframework.ide.eclipse.mylyn,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.mylyn",1346257087714
stopped,bundle,org.springframework.ide.eclipse.osgi,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.osgi",1346257087714
stopped,bundle,org.springframework.ide.eclipse.webflow.ui,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.webflow.ui",1346257087714
stopped,bundle,org.springframework.ide.eclipse.webflow.ui.graph,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.webflow.ui.graph",1346257087714
stopped,bundle,org.springframework.ide.eclipse.webflow.ui.editor,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.webflow.ui.editor",1346257087714
stopped,bundle,org.springframework.ide.eclipse.webflow.core,3.0.0.201208090952-RELEASE,"org.springframework.ide.eclipse.webflow.core",1346257087715
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1346257117920
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1346257117924
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1346257117924
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1346257117925
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1346257117925
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1346257117927
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1346257117927
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1346257117927
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1346257117927
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1346257117933
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1346257117933
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1346257117933
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1346257117933
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1346257117934
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1346257117935
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1346257117935
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1346257117935
started,bundle,org.eclipse.emf.common.ui,2.7.0.v20120130-0943,"org.eclipse.emf.common.ui",1346257117935
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1346257117935
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1346257117935
started,bundle,org.eclipse.emf.edit,2.7.2.v20120130-0943,"org.eclipse.emf.edit",1346257117935
started,bundle,org.eclipse.emf.edit.ui,2.7.0.v20120130-0943,"org.eclipse.emf.edit.ui",1346257117935
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1346257117935
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1346257117935
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1346257117935
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1346257117935
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1346257117936
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1346257117936
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1346257117937
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1346257117937
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1346257117938
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1346257117939
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110815-1419,"org.eclipse.equinox.p2.directorywatcher",1346257117939
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1346257117940
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1346257117940
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1346257117940
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1346257117940
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1346257117944
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1346257118004
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110815-1419,"org.eclipse.equinox.p2.reconciler.dropins",1346257118005
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1346257118014
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1346257118015
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1346257118015
